"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"overdisp_MC[30]","15.1423819","3.66625730497516","9.07289997850142","12.52","14.79","17.39","23.24","1.00096764034556","20000"
"overdisp_MC[31]","9.25366845","2.24049392310615","5.54492498021162","7.649","9.04049998617333","10.63","14.2","1.00096763399513","20000"
"overdisp_MC[32]","9.25366845","2.24049392310615","5.54492498021162","7.649","9.04049998617333","10.63","14.2","1.00096763399513","20000"
"overdisp_MC[33]","14.3011639","3.46261922671729","8.56889997723656","11.82","13.97","16.4224994292527","21.95","1.00096767358094","20000"
"mean_MC[1]","0.581735265","0.0307531821408836","0.52009749976564","0.5615","0.5825","0.6024","0.6406","1.00144417865959","3000"
"mean_MC[2]","0.596954665","0.0300497205065688","0.5364","0.5773","0.5978","0.6173","0.654","1.00110498030682","9600"
"mean_MC[3]","0.58882722","0.0298960011475754","0.5285","0.5691","0.5895","0.6089","0.6453","1.00127638570373","4600"
"mean_MC[4]","0.589729515","0.029852718094064","0.529597499769845","0.57","0.5904","0.6098","0.646","1.00125588750181","4900"
"mean_MC[5]","0.644139795","0.0485323356870276","0.545","0.6121","0.6451","0.6773","0.735804999337574","1.00110404685872","9700"
"mean_MC[6]","0.632267545","0.0421138750068951","0.546497499776963","0.6044","0.633","0.661","0.712002499828843","1.00101990797512","20000"
"mean_MC[7]","0.634656245","0.0433527447230706","0.5464","0.6061","0.6353","0.6643","0.717","1.00103608304928","17000"
"mean_MC[8]","0.628650045","0.0403016411714465","0.546697499777045","0.6021","0.6294","0.6561","0.70470249982707","1.00099686847526","20000"
"mean_MC[9]","0.550953485","0.0426841366157347","0.4654","0.5232","0.5514","0.5796","0.6348","1.00186886378688","1600"
"mean_MC[10]","0.584614055","0.0302972416582695","0.5239","0.5647","0.5855","0.605","0.6423","1.00137609436979","3500"
"mean_MC[11]","0.651467525","0.0527499698657773","0.543794999103314","0.6169","0.6528","0.6879","0.7508","1.00115593620018","7200"
"mean_MC[12]","0.65803082","0.0566343708336694","0.54189749977507","0.6208","0.6599","0.6973","0.7635","1.00119964146403","6000"
"mean_MC[13]","0.598010655","0.0301586557259559","0.537197499773101","0.5783","0.5987","0.6184","0.6551","1.00108679433181","11000"
"mean_MC[14]","0.57153334","0.0334537757689631","0.504","0.5496","0.5719","0.5938","0.6359","1.00165468380928","2100"
"mean_MC[15]","0.541795405","0.0477964938842522","0.4465","0.5105","0.5421","0.5737","0.636","1.00189588585756","1600"
